ID,Name,Article / Other Name,Description,AI Life Cycle Stage,High Level Principle,Associated Principles,Task,Level of Development,Sector,Tool Type,Programming Language,DOI / URL,Year,Authors / Owners,Other Links
16,Algorithm Tips,Algorithm Tips: A Resource for Algorithmic Accountability in Government,,Deployment and monitoring,Justice,Accountability,Does not apply,4,Academic,Website; Resource Compendium; Article,Does not apply,https://cj2017.northwestern.edu/documents/algorithm-cj2017-paper-13.pdf,2017,"Nicholas Diakopoulos, Daniel Trielli, Jennifer A. Stark","http://algorithmtips.org/

http://db.algorithmtips.org/db"
17,Consequence Scanning,Consequence Scanning: An agile practice for responsible innovators,,Businness and problem understanding,Beneficence,Fairness; Inclusion; Auditability,Does not apply,4,Private,Guide,Does not apply,https://doteveryone.org.uk/wp-content/uploads/2021/02/Consequence-Scanning-Agile-Event-Manual-TechTransformed-Doteveryone-2.pdf,2019,Doteveryone,https://doteveryone.org.uk/project/consequence-scanning/
18,Ellpha,,,"Deployment and monitoring; Collection, understanding and preparation of data",Justice; Justice,Inclusion; Fairness,Does not apply,4,NGO,Website,Does not apply,https://www.ellpha.com/what-is-ellpha,2018,"Brigitte Ricou-Bellan, Stephanié Creff",https://www.ellpha.com
19,TuringBox,TuringBox: An Experimental Platform for the Evaluation of AI Systems,,Deployment and monitoring,Justice,Reproducibility; Auditability,Regression; Computer Vision; Natural Language Processing,4,Academic,Code; Article,Python,https://doi.org/10.24963/ijcai.2018/851,2018,"Ziv Epstein, Blakeley H. Payne, Judy Hanwen Shen, Casey Jisoo Hong, Bjarke Felbo, Abhimanyu Dubey, Matthew Groh, Nick Obradovich, Manuel Cebrian, Iyad Rahwan","https://github.com/mitmedialab/turingbox

https://www.media.mit.edu/projects/turingbox/overview/"
20,Equity Evaluation Corpus (EEC),Examining Gender and Race Bias in Two Hundred Sentiment Analysis Systems,,"Collection, understanding and preparation of data",Justice,Fairness,Natural Language Processing,4,Academic,Dataset; Article,Does not apply,https://saifmohammad.com/WebDocs/EEC/ethics-StarSem-final_with_appendix.pdf,2018,"Svetlana Kiritchenko, Saif M. Mohammad","https://saifmohammad.com/WebPages/Biases-SA.html

https://github.com/algorithmicbiaslab/expanded-equity-corpus"
21,EthicsNet,,,"Collection, understanding and preparation of data; Performance evaluation",Beneficence; Justice,Fairness; Diversity,Does not apply,4,NGO,Website; Dataset,Does not apply,https://www.ethicsnet.org,2019,"Anish Mohammed, Remco Bloemen, Nell Watson, Emerson Lopes, Ola Orchowska, Franziska Lippoldt, Roshawn Terrell, Nikola Stojkovic, Adam Alonzi, Phaedra Mohammed",https://www.ethicsnet.org/about
22,Certifying and Removing Disparate Impact,Certifying and Removing Disparate Impact,,Performance evaluation,Justice,Fairness,Multi-class Classification,"3,5",Academic,Article; Code,Python,https://doi.org/10.1145/2783258.2783311,2015,"Michael Feldman,  Sorelle A. Friedler, John Moeller, Carlos Scheidegger, Suresh Venkatasubramanian","https://arxiv.org/abs/1412.3756

https://github.com/algofairness/BlackBoxAuditing

https://github.com/jakainic/Disparate_Impact"
23,A Confidence-Based Approach for Balancing Fairness and Accuracy,A Confidence-Based Approach for Balancing Fairness and Accuracy,,Model setup and training,Justice,Fairness,Multi-class Classification; Regression,"3,6",Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.1601.05764,2016,"Benjamin Fish, Jeremy Kun, Ádám D. Lelkes",https://github.com/j2kun/fkl-SDM16
24,A Survey of Value Sensitive Design Methods,A Survey of Value Sensitive Design Methods,,Planning and design,Beneficence,Responsibility,Does not apply,"3,3",Academic,Article; Practical Framework,Does not apply,https://doi.org/10.1561/1100000015,2017,"Batya Friedman, David G. Hendry, Alan Borning",https://sci-hub.ru/10.1561/1100000015
25,Futures Wheel,,,Businness and problem understanding,Non-Maleficence,Auditability; Prevention,Does not apply,4,NGO,Practical Framework; Website,Does not apply,http://ethicskit.org/futures-wheel.html,2019,Jerome C. Glenn,https://ethicskit.org/tools.html
26,A Survey Of Methods For Explaining Black Box Models,A Survey Of Methods For Explaining Black Box Models,,Performance evaluation,Explicability,Explicability; Interpretability,Does not apply,Does not apply,Academic,Article; Resource Compendium,Does not apply,https://doi.org/10.1145/3236009,2018,"Riccardo Guidotti, Anna Monreale, Salvatore Ruggieri, Franco Turini, Fosca Giannotti, Dino Pedreschi",
27,Machine Learning Interpretability (MLI) Resources,"An introduction to machine learning interpretability: an applied perspective on fairness, accountability, transparency, and explainable AI",,Model setup and training; Performance evaluation,Explicability; Explicability,Interpretability; Explicability,Multi-class Classification; Regression,4,Academic,Book; Code; Examples,Python,https://www.oreilly.com/library/view/an-introduction-to/9781492033158/,2018,"Patrick Hall, Navdeep Gill","https://h2o.ai/resources/ebook/introduction-to-machine-learning-interpretability/

https://github.com/h2oai/mli-resources

https://github.com/h2oai/mli-resources/blob/master/notebooks/mono_xgboost.ipynb

https://github.com/h2oai/mli-resources/blob/master/notebooks/pdp_ice.ipynb"
28,Hazy,,,"Collection, understanding and preparation of data",Non-Maleficence,Privacy; Security; Reliability,Does not apply,"4,8",Private,Website,Does not apply,https://hazy.com/,2017,"Harry Keen, Luke Robinson, Marisa Teh, Andrew Keen, Karl Tishler",https://hazy.com/product/why-synthetic-data
29,Ethics Cards,,,Businness and problem understanding,Beneficence,Inclusion; Responsibility,Does not apply,4,NGO,Practical Framework; Website,Does not apply,http://ethicskit.org/ethics-cards.html,2018,Philip Hesketh,https://ethicskit.org/tools.html
30,Dataset Nutrition Label,The Dataset Nutrition Label: A Framework To Drive Higher Data Quality Standards,,"Collection, understanding and preparation of data",Justice,Accountability; Transparency; Auditability,Does not apply,"4,7",Academic,Practical Framework; Website; Article,Does not apply,https://doi.org/10.48550/arXiv.1805.03677,2018,"Sarah Holland, Ahmed Hosny, Sarah Newman, Joshua Joseph, Kasia Chmielinski","https://datanutrition.org/

https://ahmedhosny.github.io/datanutrition/

https://labelmaker.datanutrition.org/"
31,Anonymisation: managing data protection risk code of practice,,,"Collection, understanding and preparation of data",Justice,Privacy; Security; Safety,Does not apply,4,Public,Code of Practice,Does not apply,https://ico.org.uk/media/1061/anonymisation-code.pdf,2015,Information Commissioner's Office (ICO),https://ico.org.uk/media/about-the-ico/consultations/2619862/anonymisation-intro-and-first-chapter.pdf
32,UK GDPR Guidance and Resources,,,"Planning and design; Collection, understanding and preparation of data",Autonomy; Justice; Governance,Privacy; Security; Autonomy; Fairness,Does not apply,4,Public,Resource Compendium,Does not apply,https://ico.org.uk/for-organisations/guide-to-data-protection/guide-to-the-general-data-protection-regulation-gdpr/,2018,Information Commissioner's Office (ICO),
33,The Field Guide to Human-Centered Design,,,Planning and design,Beneficence,Diversity; Inclusion; Human Rights,Does not apply,4,NGO,Guide; Resource Compendium,Does not apply,https://www.designkit.org/resources/1.html,2015,IDEO Organization,"https://www.ideo.com/post/design-kit

https://www.designkit.org/

https://www.ideo.org/tools"
34,Ethically Aligned Design,White Paper - Ethically Aligned Design - A Vision for Prioritizing Human Well-being with Autonomous and Intelligent Systems,,Businness and problem understanding,Beneficence,Human Rights; Well-being; Inclusion; Social Good,Does not apply,"3,6",Academic,White Paper,Does not apply,https://ieeexplore.ieee.org/document/9398613,2019,Institute of Electrical and Electronics Engineers (IEEE),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9398613
35,How to stimulate effective public engagement on the ethics of Artificial Intelligence,,,Businness and problem understanding,Beneficence,Social Good; Inclusion; Diversity,Does not apply,Does not apply,Private,Theory Document,Does not apply,https://involve.org.uk/resources/publications/project-reports/how-stimulate-effective-public-engagement-ethics-artificial,2019,"Involve, DeepMind",https://involve.org.uk/sites/default/files/field/attachemnt/How%20to%20stimulate%20effective%20public%20debate%20on%20the%20ethics%20of%20artificial%20intelligence%20.pdf
36,Learning Representations for Counterfactual Inference,Learning Representations for Counterfactual Inference,,Performance evaluation; Performance evaluation,Justice; Explicability,Fairness; Explicability; Interpretability,Regression; Multi-class Classification,"3,2",Academic,Article; Code,Python,https://doi.org/10.48550/arXiv.1605.03661,2016,"Fredrik D. Johansson, Uri Shalit, David Sontag","https://bpauld.github.io/files/MLRG2.pdf

https://github.com/ankits0207/Learning-representations-for-counterfactual-inference-MyImplementation

https://github.com/vdorie/bartCause"
37,Generative Adversarial Networks (GANs) for synthetic dataset generation with binary classes,,,"Collection, understanding and preparation of data",Non-Maleficence,Reliability; Quality Data,Binary Classification,"3,1",Academic,Website; Code,Python,https://datasciencecampus.ons.gov.uk/projects/generative-adversarial-networks-gans-for-synthetic-dataset-generation-with-binary-classes/,2019,"Chaitanya Joshi, Ioannis Kaloskampis, Louisa Nolan",https://github.com/datasciencecampus/synthetic-data
38,Human Decisions and Machine Predictions,Human Decisions and Machine Predictions,,Performance evaluation,Beneficence,Responsibility; Social Good,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.1093/qje/qjx032,2017,"Jon Kleinberg, Himabindu Lakkaraju, Jure Leskovec, Jens Ludwig, Sendhil Mullainathan",https://www.nber.org/system/files/working_papers/w23180/w23180.pdf
39,Adversarial Robustness - Theory and Practice,,,Model setup and training,Non-Maleficence,Security; Reliability,Regression; Multi-class Classification,4,Academic,Website; Code; Examples,Python,https://adversarial-ml-tutorial.org/,2018,"Zico Kolter, Aleksander Madry",
40,The fallacy of inscrutability,The fallacy of inscrutability,,Deployment and monitoring,Explicability,Interpretability; Explicability,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.1098/rsta.2018.0084,2018,Joshua A. Kroll,
41,Accountable Algorithms,Accountable Algorithms,,Planning and design; Model setup and training; Deployment and monitoring,Non-Maleficence; Justice; Explicability,Justice; Fairness; Accountability; Well-being; Social Good,Does not apply,Does not apply,Academic,Article,Does not apply,https://collaborate.princeton.edu/en/publications/accountable-algorithms,2017,"Joshua A. Kroll, Joanna Huey, Solon Barocas, Edward W. Felten, Joel R. Reidenberg, David G. Robinson, Harlan Yu",https://scholarship.law.upenn.edu/cgi/viewcontent.cgi?article=9570&context=penn_law_review
42,Counterfactual Fairness,Counterfactual Fairness,,Model setup and training,Explicability,Explicability; Interpretability,Multi-class Classification,"3,5",Academic,Article; Code,R,https://doi.org/10.48550/arXiv.1703.06856,2017,"Matt J. Kusner, Joshua R. Loftus, Chris Russell, Ricardo Silva",https://github.com/mkusner/counterfactual-fairness
43,The Selective Labels Problem: Evaluating Algorithmic Predictions in the Presence of Unobservables,The Selective Labels Problem: Evaluating Algorithmic Predictions in the Presence of Unobservables,,Performance evaluation,Justice,Auditability,Multi-class Classification,Does not apply,Academic,Article,Unknown,https://doi.org/10.1145/3097983.3098066,2017,"Himabindu Lakkaraju, Jon Kleinberg, Jure Leskovec, Jens Ludwig, Sendhil Mullainathan",
44,"Fair, Transparent, and Accountable Algorithmic Decision-making Processes","Fair, Transparent, and Accountable Algorithmic Decision-making Processes",,Deployment and monitoring,Non-Maleficence,Responsibility; Transparency; Privacy,Does not apply,4,Academic; NGO,Article; Website,Does not apply,https://doi.org/10.1007/s13347-017-0279-x,2018,"Bruno Lepri, Nuria Oliver, Emmanuel Letouzé, Alex Pentland, Patrick Vinck","https://www.opalproject.org/

https://www.opalproject.org/resources

https://sci-hub.ru/10.1007/s13347-017-0279-x"
45,Deep Learning for Case-Based Reasoning through Prototypes: A Neural Network that Explains Its Predictions,Deep Learning for Case-Based Reasoning through Prototypes: A Neural Network that Explains Its Predictions,,Model setup and training; Model setup and training,Justice; Explicability,Explicability; Fairness; Interpretability,Multi-class Classification; Computer Vision,"3,6",Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.1710.04806,2017,"Oscar Li, Hao Liu, Chaofan Chen, Cynthia Rudin","https://github.com/OscarcarLi/PrototypeDL

https://github.com/mariusarvinte/FATML-MiniProject"
46,Learning Adversarially Fair and Transferable Representations,Learning Adversarially Fair and Transferable Representations,,Model setup and training,Justice,Fairness,Multi-class Classification,"3,8",Academic,Article; Code,Python,https://doi.org/10.48550/arXiv.1802.06309,2018,"David Madras, Elliot Creager, Toniann Pitassi, Richard Zemel",https://github.com/VectorInstitute/laftr
47,Privacy Principles: Towards a Common Privacy Audit Methodology,Privacy Principles: Towards a Common Privacy Audit Methodology,,Deployment and monitoring,Non-Maleficence,Auditability; Reliability; Privacy,Does not apply,"3,6",Academic,Article; Practical Framework,Does not apply,https://doi.org/10.1007/978-3-319-22906-5_17,2015,"Eleni-Laskarina Makri, Costas Lambrinoudakis ",https://sci-hub.ru/10.1007/978-3-319-22906-5_17
48,Moral Machine - MIT,,,Businness and problem understanding,Justice,Fairness,Computer Vision,"4,2",Academic; NGO,Website,Does not apply,https://www.moralmachine.net,2016,"Iyad Rahwan, Jean-Francois Bonnefon, Azim Shariff, Edmond Awad, Sohan Dsouza, Paiju Chang, Danny Tang",
49,Economy Impact Model,,,Businness and problem understanding,Beneficence,Social Good; Well-being; Diversity; Inclusion,Does not apply,"3,6",NGO,Theoretical Framework,Does not apply,http://ethicskit.org/economy-impact-model.html,2019,"The Federation of Southern Cooperatives, Noisy Cricket Organization",https://ethicskit.org/tools.html
50,Adversarial Robustness Toolbox (ART),Adversarial Robustness Toolbox v1.0.0,,Performance evaluation; Deployment and monitoring,Non-Maleficence; Non-Maleficence,Security; Reliability; Privacy,Multi-class Classification; Computer Vision; Regression; Natural Language Processing,"4,6",Private,Article; Code,Python,https://doi.org/10.48550/arXiv.1807.01069,2018,"Maria-Irina Nicolae, Mathieu Sinn, Minh Ngoc Tran, Beat Buesser, Ambrish Rawat, Martin Wistuba, Valentina Zantedeschi, Nathalie Baracaldo, Bryant Chen, Heiko Ludwig, Ian M. Molloy, Ben Edwards","https://github.com/Trusted-AI/adversarial-robustness-toolbox

https://adversarial-robustness-toolbox.org/

https://developer.ibm.com/articles/applying-the-adversarial-robustness-toolbox/"
51,Data Ethics Canvas,,,Planning and design,Beneficence,Social Good; Human Rights,Does not apply,"4,2",NGO,Practical Framework; Guide,Does not apply,https://theodi.org/article/the-data-ethics-canvas-2021,2021,Open Data Institute (ODI),"https://docs.google.com/document/d/1OXSrA2KDMVkHroxs_8SUoQZ5Uv0eRhtNNtIl9g_Q47M/edit

https://docs.google.com/document/d/1MkvoAP86CwimbBD0dxySVCO0zeVOput_bu1A6kHV73M/edit"
52,Synthetic Data Pilot - ONS methodology working paper series number 16,,,"Collection, understanding and preparation of data",Non-Maleficence,Quality Data; Reliability; Privacy,Does not apply,"3,8",Public,Website; Article; Tool Compendium,R,https://www.ons.gov.uk/methodology/methodologicalpublications/generalmethodology/onsworkingpaperseries/onsmethodologyworkingpaperseriesnumber16syntheticdatapilot,2019,"Andrew G. Bates, Iva Špakulová, Iain Dove, Andrew Mealor","https://github.com/Iain-Dove-ONS/Synthetic_data_pilot

https://github.com/theodi/synthetic-data-tutorial/"
53,OpenMined,,,Model setup and training,Non-Maleficence,Security; Safety; Social Good; Privacy; Literacy,Does not apply,"4,6",NGO,Website; Code,Python; JavaScript; C++,https://www.openmined.org/,2017,"Andrew Trask, OpenMined Contributors","https://github.com/OpenMined

https://www.youtube.com/@OpenMinedOrg"
54,Personal AI Privacy Watchdog Could Help You Regain Control of Your Data,,,Deployment and monitoring,Autonomy,Literacy; Autonomy; Agency,Does not apply,4,Academic,App,Does not apply,https://www.technologyreview.com/2017/05/11/242790/personal-ai-privacy-watchdog-could-help-you-regain-control-of-your-data/,2017,"Mike Orcutt, Carnegie Mellon University","https://play.google.com/store/apps/details?id=cmu.scs.mobilecommerce.aerinzhang.ppa_study

https://apkpure.com/root-privacy-assistant/edu.cmu.mcom.ppa"
55,Questioning the assumptions behind fairness solutions,Questioning the assumptions behind fairness solutions,,Performance evaluation,Justice,Auditability; Fairness,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.48550/arXiv.1811.11293,2018,"Rebekah Overdorf, Bogdan Kulynych, Ero Balsa, Carmela Troncoso, Seda Gürses",
56,Explainable AI: Driving business value through greater understanding,,,Performance evaluation,Explicability,Interpretability; Explicability,Does not apply,4,Private,Theory Document; Guide,Does not apply,https://www.pwc.co.uk/services/risk/insights/explainable-ai.html,2021,PwC United Kingdom,https://www.pwc.co.uk/audit-assurance/assets/pdf/explainable-artificial-intelligence-xai.pdf
57,Scalable Private Learning with PATE,Scalable Private Learning with PATE,,"Collection, understanding and preparation of data",Non-Maleficence,Privacy; Reliability,Multi-class Classification,"4,2",Academic; Private,Article; Code,Python,https://doi.org/10.48550/arXiv.1802.08908,2018,"Nicolas Papernot, Shuang Song, Ilya Mironov, Ananth Raghunathan, Kunal Talwar, Úlfar Erlingsson","https://github.com/tensorflow/privacy/tree/master/research/pate_2018/ICLR2018

https://github.com/tensorflow/privacy/tree/master/research

https://blog.tensorflow.org/2019/03/introducing-tensorflow-privacy-learning.html

https://www.tensorflow.org/responsible_ai/privacy/tutorials/classification_privacy"
58,Beyond Principles: A Process for Responsible Tech,,,Planning and design,Autonomy,Responsibility; Agency; Well-being,Does not apply,"4,2",Academic,Website; Tool Compendium; Practical Framework,Does not apply,https://medium.com/ethics-of-digital-experience/beyond-principles-a-process-for-responsible-tech-aefc921f7317,2019,"Dorian Peters, Rafael A. Calvo, Karina Vold, Diana Robinson","https://www.responsibletechdesign.com/

https://docs.google.com/presentation/d/e/2PACX-1vSgT-tM3H_FBCuuZVwDMvIpvLD-uuQfZi2h3MG6G35eekd7CF7LTASgg9AXEhK9Mb3MvhP0G3_E4rsI/pub?start=false&loop=false&delayms=600000&slide=id.p

https://ieeexplore.ieee.org/ielx7/8566059/8995808/09001063.pdf

https://www.positivecomputing.org/"
59,"Designing for Motivation, Engagement and Wellbeing in Digital Experience","Designing for Motivation, Engagement and Wellbeing in Digital Experience",,Planning and design,Autonomy,Responsibility; Well-being; Social Good,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.3389/fpsyg.2018.00797,2018,"Dorian Peters, Rafael A. Calvo, Richard M. Ryan","https://www.frontiersin.org/files/Articles/300159/fpsyg-09-00797-HTML/image_m/fpsyg-09-00797-t001.jpg

https://www.frontiersin.org/files/Articles/300159/fpsyg-09-00797-HTML/image_m/fpsyg-09-00797-t002.jpg"
60,The Machine Learning Reproducibility Checklist,Improving Reproducibility in Machine Learning Research (A Report from the NeurIPS 2019 Reproducibility Program),,Deployment and monitoring,Non-Maleficence,Reliability; Reproducibility,Does not apply,4,Academic,Checklist; Article,Does not apply,https://doi.org/10.48550/arXiv.2003.12206,2019,"Joelle Pineau, Philippe Vincent-Lamarre, Koustuv Sinha, Vincent Larivière, Alina Beygelzimer, Florence d'Alché-Buc, Emily Fox, Hugo Larochelle",https://www.cs.mcgill.ca/~jpineau/ReproducibilityChecklist.pdf
61,Algorithmic Impact Assessments Report: A Practical Framework for Public Agency Accountability,,,Deployment and monitoring; Deployment and monitoring,Non-Maleficence; Explicability,Accountability; Auditability; Traceability; Social Good,Does not apply,4,NGO,Practical Framework,Does not apply,https://ainowinstitute.org/publication/algorithmic-impact-assessments-report-2,2018,"Dillon Reisman, Jason Schultz, Kate Crawford, Meredith Whittaker, AI Now Institute",https://ainowinstitute.org/wp-content/uploads/2023/04/aiareport2018.pdf
62,Responsible AI Licenses (RAIL),,,Deployment and monitoring,Non-Maleficence,Non-Maleficence; Prevention,Does not apply,"4,2",NGO,License,Does not apply,https://www.licenses.ai/ai-licenses,2019,"Danish Contractor, Daniel McDuff, Julia Katherine Haines, Brent Hecht, Carlos Muñoz Ferrandis, Jenny Lee, Joseph Lindley, Nick Vincent, Jesse Josua Benjamin, Hanlin Li",https://www.licenses.ai/blog/2022/8/18/naming-convention-of-responsible-ai-licenses
63,Data management and use: Governance in the 21st century - a British Academy and Royal Society project,,,Businness and problem understanding,Beneficence; Governance,Social Good; Quality Data,Does not apply,Does not apply,Academic,Report; Study Cases,Does not apply,https://royalsociety.org/topics-policy/projects/data-governance/,2017,"Royal Society, British Academy",https://royalsociety.org/-/media/policy/projects/data-governance/data-management-governance.pdf
64,When worlds collide: integrating different counterfactual assumptions in fairness,When worlds collide: integrating different counterfactual assumptions in fairness,,Performance evaluation,Justice,Fairness,Multi-class Classification,"3,4",Academic,Article; Code,Unknown,https://dl.acm.org/doi/10.5555/3295222.3295388,2017,"Chris Russell, Matt J. Kusner, Joshua Loftus, Ricardo Silva",
65,PySyft,A generic framework for privacy preserving deep learning,,Model setup and training,Non-Maleficence,Privacy; Security,Regression; Binary Classification; Multi-class Classification; Natural Language Processing,"4,6",Academic; NGO,Article; Code,Python,https://doi.org/10.48550/arXiv.1811.04017,2018,"Theo Ryffel, Andrew Trask, Morten Dahl, Bobby Wagner, Jason Mancuso, Daniel Rueckert, Jonathan Passerat-Palmbach","https://github.com/OpenMined/PySyft

https://openmined.github.io/PySyft/"
66,Aequitas,Aequitas: A Bias and Fairness Audit Toolkit,,Performance evaluation,Justice,Fairness; Auditability,Regression; Binary Classification; Multi-class Classification,"4,4",Academic,Article; Code,Python,https://doi.org/10.48550/arXiv.1811.05577,2018,"Pedro Saleiro, Benedict Kuester, Loren Hinkson, Jesse London, Abby Stevens, Ari Anisfeld, Kit T. Rodolfa, Rayid Ghani","http://aequitas.dssg.io/

https://github.com/dssg/aequitas

http://www.datasciencepublicpolicy.org/our-work/tools-guides/aequitas/"
67,AI Ethics Cards,AI Needs an Ethical Compass - This tool can help,,Businness and problem understanding,Beneficence,Quality Data; Responsibility; Well-being,Does not apply,"3,8",NGO,Website; Practical Framework,Does not apply,https://www.ideo.com/blog/ai-needs-an-ethical-compass-this-tool-can-help,2019,"IDEO Organization, Ovetta Sampson, Michael Chapman","https://page.ideo.com/download-ai-ethics-cards

http://web.archive.org/web/20230131062043/https://www.ideo.com/blog/ai-needs-an-ethical-compass-this-tool-can-help"
